"id","name"
90,"Annie Fellows-Johnston"
91,"Johan Wolfgang von Goethe"
92,"Tristan Klingsor"
93,"Plato"
94,"Sir Rabindranath Tagore"
95,"Thomas Hardy"
96,"Randall Parrish"
97,"Green Peyton Wertenbaker"
98,"Alfred Elwes"
99,"Harry Castlemon"
100,"Irving Bacheller"
101,"Dr. Hans Hoppeler"
102,"John Fox, Jr."
103,"Benjamin Disraeli"
104,"Oliver Herford"
105,"Frank Norris"
106,"Armando Palacio Vald�s"
107,"Francis Parkman, Jr."
108,"R. D. Blackmore"
109,"Henry William Lee"
110,"Alan Edward Nourse"
111,"Arthur Mee and J.A. Hammerton, Eds."
112,"Ant�nio Filipe Marx de Sori"
113,"George Moore"
114,"Boswell"
115,"Chester K. Steele"
116,"F. Anstey"
117,"Gonzalo de Doblas"
118,"Edward Bulwer-Lytton"
119,"Paul Scarron"
120,"James Weir"
121,"Thomas Paine"
122,"Honor� Willsie"
123,"Edward William Watkin"
124,"Henry Fielding"
125,"G.A. Henty"
126,"J. S. Rarey"
127,"Jos� Maria E�a de Queir�s"
128,"Xenophon"
129,"Hesba Stretton"
130,"Ni Zhang"
131,"Ministry of Education Ontario"
132,"Bret Harte"
133,"Ramy Allison White"
134,"Arthur Thomas Quiller-Couch"
135,"Henry Charles Mahoney"
136,"Henry Slesar"
137,"George Andrew Reisner"
138,"Lucy de La Tour du Pin"
139,"R.M. Ballantyne"
140,"Amy Bell Marlowe"
141,"Lafcadio Hearn"
142,"John Hay"
143,"Edward Young"
144,"Gilbert Sykes Blakely"
145,"Henri Conscience"
146,"Marie Corelli"
147,"Francis Rolt-Wheeler"
148,"Henry White Warren"
149,"Jakob Wassermann"
150,"Franz Grillparzer"
151,"Johann Wolfgang Von Goethe"
152,"Agnes C. Laut"
153,"F. Max Müller"
154,"George Sumner Weaver"
155,"G.K. Chesterton"
156,"Richard O. Lewis"
157,"Chong Zuo Zhao"
158,"H. Byerley Thomson"
159,"Vaughan Kester"
160,"United States Central Intelligence Agency"
161,"Su Liu"
162,"Frederic Stewart Isham"
163,"Wilkie Collins"
164,"Aristophanes"
165,"John Hartley"
166,"Mary Baker Eddy"
167,"Colette Willy, aka Colette"
168,"Samuel Hopkins Adams"
169,"M. Guizot and Madame Guizot De Witt"
170,"Lilian Turner"
171,"Robert F. Pennell"
172,"Wan Hua Jhu Ren"
173,"Charles M. Skinner"
174,"Michel de Montaigne"
175,"J. H. Erkko"
176,"W. C. Rucker"
177,"Duc de Saint-Simon"
178,"Ernst Larsson"
179,"Robert Herrick"
180,"Charles H. Sylvester"
181,"Georg Ebers"
182,"Clara Sudermann"
183,"Annie Hamilton Donnell"
184,"Margaret Sanger"
185,"Grace Livingston Hill Lutz"
186,"Miss Emma Roberts"
187,"M. E. Braddon"
188,"Emile Zola"
189,"Edgar Wallace"
190,"Horace Elisha Scudder, editor"
191,"F. Herv�"
192,"Roman Frederick Starzl"
193,"Robert F. Young"
194,"Francis Beaumont and John Fletcher"
195,"Eliza Lee Follen"
196,"Raimond Casellas"
197,"Boyd Cable (Ernest Andrew Ewart)"
198,"Frank V. Webster"
199,"Axel Lundeg�rd"
200,"Victor Hugo"
201,"Jan Kochanowski"
202,"Harry de Windt"
203,"William MacLeod Raine"
204,"Wilcomb E. Washburn"
205,"Angela Brazil"
206,"M. E. Bewsher"
207,"Beatrix Potter"
208,"P. H. Sheridan"
209,"Frances Boyd Calhoun"
210,"Margaret Penrose"
211,"Samuel Rutherford Crockett"
212,"George Ethelbert Walsh"
213,"J.A. Taylor"
214,"Henry Ernest Dudeney"
215,"Ben Hecht"
216,"Kate Dickinson Sweetser"
217,"Laurence Hope"
218,"Alexander Leighton"
219,"Theodore Thinker"
220,"J. McDonald Oxley"
221,"American Sunday School Union"
222,"Sir Theodore Andrea Cook"
223,"J. W. Duffield"
224,"Hjalmar Hjorth Boyesen"
225,"Edwin Arnold"
226,"Louis Joseph Vance"
227,"Martha Finley"
228,"George Haven Putnam"
229,"Charles Clark Munn"
230,"Translated by Martha Gilbert Dickinson Bianchi"
231,"Ernest Renan"
232,"Edison Marshall"
233,"Yu Li"
234,"Guanzhong Luo"
235,"Pierre  Louÿs"
236,"Christian Reuter"
237,"John Greenleaf Whittier"
238,"Henry Bordeaux"
239,"Jacques Casanova de Seingalt"
240,"Mary Eales"
241,"P. Hampson"
242,"Sewell Ford"
243,"Mary E. Wilkins Freeman"
244,"Harold Bindloss"
245,"Robert Andrew Arthur"
246,"J. A. Wormser"
247,"Edward Stratemeyer"
248,"Cornelius Mathews"
249,"Camilo Castelo Branco"
250,"Arthur Keyser"
251,"Jean de La Fontaine"
252,"Adam Mickiewicz"
